fightId,date,location,weightClass,decisionMethod,fightLastRound,fightTime,fightTimeFormat,fightDetails,f1Name,f1Id,f1Result,f1ResultEncode,f1Knockdown,f1SigStrikesLandedTotal,f1SigStrikesAttTotal,f1SigStrikesPercentTotal,f1StrikesLandedTotal,f1StrikesAttTotal,f1TakedownLanded,f1TakedownAtt,f1TakedownPercent,f1SubmissionAtt,f1Rev,f1TimeControl,f1SigStrikesLanded,f1SigStrikesAtt,f1SigStrikesPercent,f1HeadSigStrikesLanded,f1HeadSigStrikesAtt,f1BodySigStrikesLanded,f1BodySigStrikesAtt,f1LegSigStrikesLanded,f1LegSigStrikesAtt,f1DistanceSigStrikesLanded,f1DistanceSigStrikesAtt,f1ClinchSigStrikesLanded,f1ClinchSigStrikesAtt,f1GroundSigStrikesLanded,f1GroundSigStrikesAtt,f2Name,f2Id,f2Result,f2ResultEncode,f2Knockdown,f2SigStrikesLandedTotal,f2SigStrikesAttTotal,f2SigStrikesPercentTotal,f2StrikesLandedTotal,f2StrikesAttTotal,f2TakedownLanded,f2TakedownAtt,f2TakedownPercent,f2SubmissionAtt,f2Rev,f2TimeControl,f2SigStrikesLanded,f2SigStrikesAtt,f2SigStrikesPercent,f2HeadSigStrikesLanded,f2HeadSigStrikesAtt,f2BodySigStrikesLanded,f2BodySigStrikesAtt,f2LegSigStrikesLanded,f2LegSigStrikesAtt,f2DistanceSigStrikesLanded,f2DistanceSigStrikesAtt,f2ClinchSigStrikesLanded,f2ClinchSigStrikesAtt,f2GroundSigStrikesLanded,f2GroundSigStrikesAtt
be8bee783d22bee2,"September 09, 1994","Charlotte, North Carolina, USA",Women's Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Loopy Godinez,8e5d953bdb9ae5e7,L,0,0,23,54,42%,45,76,2,15,13%,0,0,457,23,54,42%,16,42,4,7,3,5,17,43,2,7,4,4,Luana Carolina,528b071cf3da7c56,W,1,0,53,107,49%,86,141,0,0,None,0,0,52,53,107,49%,24,70,18,23,11,14,37,86,16,21,0,0
e3881a6895be3e9e,"September 09, 1994","Charlotte, North Carolina, USA",Welterweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),None,Danny Roberts,a6cba6bb66c1a8c9,W,1,0,34,94,36%,42,102,1,3,33%,0,0,158,34,94,36%,17,71,16,21,1,2,14,64,20,29,0,1,Ramazan Emeev,abd5fb12437eda21,L,0,0,40,79,50%,67,112,2,7,28%,1,0,177,40,79,50%,32,68,8,11,0,0,28,65,11,13,1,1
fefa96b6d939ffea,"September 09, 1994","Charlotte, North Carolina, USA",None, KO/TKO ,3,2:35,3 Rnd (5-5-5),Punches to Head At Distance,Andrew Sanchez,fccf811c1e8b01c7,L,0,0,33,53,62%,86,117,7,12,58%,0,0,473,33,53,62%,26,43,6,9,1,1,26,46,2,2,5,5,Bruno Silva,12ebd7d157e91701,W,1,0,70,123,56%,100,155,0,1,0%,0,0,15,70,123,56%,47,96,21,24,2,3,55,102,10,12,5,9
a2e1116a9fe84aa9,"September 09, 1994","Charlotte, North Carolina, USA",None, Submission ,3,2:22,3 Rnd (5-5-5),Anaconda Choke On Ground,Nate Landwehr,583ee11abddfc581,W,1,0,71,130,54%,103,163,1,2,50%,2,0,226,71,130,54%,41,85,18,30,12,15,45,93,26,37,0,0,Ludovit Klein,5b86d491d63890c5,L,0,0,42,85,49%,44,87,0,2,0%,0,0,32,42,85,49%,20,55,18,25,4,5,39,80,3,5,0,0
b193e2317b21125c,"September 09, 1994","Charlotte, North Carolina, USA",Women's Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Manon Fiorot,34ff304266360297,W,1,0,91,267,34%,112,291,2,6,33%,0,0,245,91,267,34%,47,218,37,42,7,7,79,245,4,8,8,14,Mayra Bueno Silva,cc8c623cca88f54f,L,0,0,48,111,43%,92,156,0,0,None,0,0,04,48,111,43%,13,55,21,32,14,24,39,100,7,9,2,2
d9ca00b3c62a874d,"September 09, 1994","Charlotte, North Carolina, USA",None, KO/TKO ,2,0:14,3 Rnd (5-5-5),Punch to Head At Distance,Jim Miller,d1941565abf50b16,W,1,1,32,48,66%,43,60,1,2,50%,0,0,115,32,48,66%,25,41,4,4,3,3,18,30,8,10,6,8,Erick Gonzalez,a2ccf35a88346a91,L,0,0,14,37,37%,22,45,1,2,50%,0,0,62,14,37,37%,10,30,3,5,1,2,11,33,2,2,1,2
188b63ec6ee1c1c9,"September 09, 1994","Charlotte, North Carolina, USA",Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Andrei Arlovski,3738e68d2261e60f,W,1,0,83,172,48%,84,173,0,0,None,0,0,00,83,172,48%,49,133,11,15,23,24,81,170,2,2,0,0,Carlos Felipe,a2ea77e974c5889f,L,0,0,73,172,42%,73,172,0,0,None,0,0,82,73,172,42%,53,145,15,21,5,6,54,148,12,14,7,10
330e67abac6e5ce7,"September 09, 1994","Charlotte, North Carolina, USA",Women's Featherweight Bout, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),None,Aspen Ladd,d4691518d012b9e7,L,0,0,33,110,30%,86,166,0,5,0%,0,1,452,33,110,30%,28,103,2,3,3,4,17,85,8,12,8,13,Norma Dumont,d3f5d33d61cd00c9,W,1,0,65,149,43%,113,201,1,1,100%,0,0,107,65,149,43%,48,129,15,18,2,2,51,134,14,15,0,0
f526892a27b50576,"September 09, 1994","Charlotte, North Carolina, USA",None, Submission ,1,4:14,3 Rnd (5-5-5),Armbar From Back Control,Loopy Godinez,8e5d953bdb9ae5e7,W,1,0,11,13,84%,18,20,5,6,83%,1,0,207,11,13,84%,8,10,2,2,1,1,8,10,3,3,0,0,Silvana Gomez Juarez,b4880ef2f838d4e1,L,0,0,3,13,23%,3,13,0,0,None,0,0,00,3,13,23%,3,13,0,0,0,0,3,13,0,0,0,0
df16b9c2fc9722e9,"September 09, 1994","Charlotte, North Carolina, USA",Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Charles Rosa,40093d1d2d78394e,L,0,0,34,87,39%,116,181,2,3,66%,0,1,78,34,87,39%,17,66,4,8,13,13,26,76,5,8,3,3,Damon Jackson,29af297d9f1de0f8,W,1,0,41,87,47%,53,101,6,12,50%,2,3,624,41,87,47%,33,77,6,8,2,2,20,58,3,3,18,26
